Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
l2-squared,hnsw,8,64,1,128,0.008926282000541687,112.02872595099679,0.9099,1384.1959102153778
l2-squared,hnsw,8,64,1,256,0.011318622946739196,88.3499701956316,0.9779,1370.6601853370667
l2-squared,hnsw,8,64,1,512,0.012703232288360596,78.72012235155735,0.9862,1328.1154568195343
l2-squared,hnsw,8,64,10,128,0.009938942623138427,100.61432467392886,0.88715,1327.6434268951416
l2-squared,hnsw,8,64,10,256,0.011358170628547668,88.04234702079543,0.88848,1333.7460885047913
l2-squared,hnsw,8,64,10,512,0.013394489192962647,74.65756891463928,0.91299,1372.267251253128
l2-squared,hnsw,8,64,100,128,0.011929100942611695,83.82861414374663,0.806748,1332.4043695926666
l2-squared,hnsw,8,64,100,256,0.013062409901618957,76.55555196411802,0.848621,1367.5032529830933
l2-squared,hnsw,8,64,100,512,0.015580131721496582,64.18430972700037,0.899471,1329.7704212665558
l2-squared,hnsw,8,128,1,128,0.008279632377624512,120.77830927644489,0.9634,1745.103773355484
l2-squared,hnsw,8,128,1,256,0.009675219559669495,103.35682759783903,0.9844,1536.989491701126
l2-squared,hnsw,8,128,1,512,0.012760094714164734,78.3693242409807,0.9888,1542.2082476615906
l2-squared,hnsw,8,128,10,128,0.009634136605262756,103.79757325152922,0.95157,1556.6689639091492
l2-squared,hnsw,8,128,10,256,0.011633816909790038,85.95631233963158,0.98236,1532.6197154521942
l2-squared,hnsw,8,128,10,512,0.012983249521255492,77.02232005653535,0.99328,1577.7960588932037
l2-squared,hnsw,8,128,100,128,0.01127041368484497,88.72788772116446,0.863614,1579.0678470134735
l2-squared,hnsw,8,128,100,256,0.012741907525062561,78.48118486443732,0.941116,1574.6255249977112
l2-squared,hnsw,8,128,100,512,0.015425716590881348,64.8268100939397,0.979025,1577.562822341919
l2-squared,hnsw,8,512,1,128,0.00803393304347992,124.47203562538621,0.9686,3376.947324991226
l2-squared,hnsw,8,512,1,256,0.00914071123600006,109.40067727569918,0.9838,3374.403905391693
l2-squared,hnsw,8,512,1,512,0.011673153972625732,85.66665036245233,0.9921,3421.17373418808
l2-squared,hnsw,8,512,10,128,0.008705704641342163,114.86720962840171,0.95638,3394.5544333457947
l2-squared,hnsw,8,512,10,256,0.009723731064796447,102.84118239554927,0.9848,3370.813014268875
l2-squared,hnsw,8,512,10,512,0.012209869909286498,81.90095450889504,0.99496,3404.017364025116
l2-squared,hnsw,8,512,100,128,0.010925006651878356,91.53312504647931,0.868741,3408.9958033561707
l2-squared,hnsw,8,512,100,256,0.0123609121799469,80.90017835595495,0.946098,3393.0914261341095
l2-squared,hnsw,8,512,100,512,0.014779692149162292,67.6604079372979,0.98224,3402.541982650757
l2-squared,hnsw,16,64,1,128,0.009966274094581604,100.3384003399699,0.9762,1320.6769587993622
l2-squared,hnsw,16,64,1,256,0.011758208894729614,85.04696667263926,0.989,1348.8307781219482
l2-squared,hnsw,16,64,1,512,0.014092281365394593,70.96083125728872,0.9912,1322.0366792678833
l2-squared,hnsw,16,64,10,128,0.009904297471046448,100.96627276425534,0.97786,1328.9704284667969
l2-squared,hnsw,16,64,10,256,0.011567196917533875,86.45136822078067,0.99161,1330.2813746929169
l2-squared,hnsw,16,64,10,512,0.014296013784408569,69.94956881551232,0.98954,1346.5700821876526
l2-squared,hnsw,16,64,100,128,0.012198627042770386,81.97643853638907,0.908043,1326.7069754600525
l2-squared,hnsw,16,64,100,256,0.013220101928710938,75.64238198710378,0.926887,1258.3881361484528
l2-squared,hnsw,16,64,100,512,0.016268465495109557,61.468612408503354,0.988592,1239.9566938877106
l2-squared,hnsw,16,128,1,128,0.009940046453475952,100.60315157282874,0.9881,1652.9429564476013
l2-squared,hnsw,16,128,1,256,0.01159072527885437,86.275877992239,0.9922,1668.5164113044739
l2-squared,hnsw,16,128,1,512,0.014228694844245911,70.28051489939715,0.9932,1691.2779304981232
l2-squared,hnsw,16,128,10,128,0.010286251735687256,97.21714242425031,0.98766,1687.4782719612122
l2-squared,hnsw,16,128,10,256,0.011598544144630431,86.21771728678137,0.99649,1673.7369453907013
l2-squared,hnsw,16,128,10,512,0.019645561408996582,50.902083131208215,0.99885,1656.9740669727325
l2-squared,hnsw,16,128,100,128,0.012973066473007203,77.08277777506805,0.943513,1666.9620974063873
l2-squared,hnsw,16,128,100,256,0.014460637545585632,69.1532442361276,0.983667,1667.1107277870178
l2-squared,hnsw,16,128,100,512,0.01730082836151123,57.800700585220405,0.996303,1669.037565946579
l2-squared,hnsw,16,512,1,128,0.009697594738006592,103.11835326349768,0.9891,3841.17924952507
l2-squared,hnsw,16,512,1,256,0.011289461064338684,88.57818759469527,0.9928,3844.1114032268524
l2-squared,hnsw,16,512,1,512,0.014701950120925903,68.01818750402765,0.9925,3805.6641657352448
l2-squared,hnsw,16,512,10,128,0.010120690870285035,98.80748387800887,0.99023,3777.9737746715546
l2-squared,hnsw,16,512,10,256,0.012461557698249817,80.24678970434383,0.99787,3801.0477180480957
l2-squared,hnsw,16,512,10,512,0.015044524264335632,66.4693666898187,0.99913,3819.394212961197
l2-squared,hnsw,16,512,100,128,0.012431998705863952,80.43758881090599,0.951016,3806.359724998474
l2-squared,hnsw,16,512,100,256,0.013753316855430603,72.70973326010025,0.987424,3834.6439962387085
l2-squared,hnsw,16,512,100,512,0.017309300065040587,57.77241114559505,0.997642,3853.782833814621
l2-squared,hnsw,64,64,1,128,0.010583605432510376,94.48575973252295,0.9856,1289.342978477478
l2-squared,hnsw,64,64,1,256,0.012063531279563904,82.89446736827709,0.9909,1303.7059276103973
l2-squared,hnsw,64,64,1,512,0.01513773443698883,66.06008343999711,0.9309,1290.872905254364
